Country_Code,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no)
HPC,,,,,,,,,,,,,,
HRV,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HTI,0,1,1,1,0,1,1,0,0,1,1,1,1,0
HUN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBD,,,,,,,,,,,,,,
IBT,,,,,,,,,,,,,,
IDA,,,,,,,,,,,,,,
IDB,,,,,,,,,,,,,,
IDN,1,0,1,1,0,1,1,0,1,1,1,1,1,0
IDX,,,,,,,,,,,,,,
IMN,,,,,,,,,,,,,,
IND,1,1,1,1,1,1,1,0,1,1,0,1,0,1
IRL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IRN,0,0,0,0,0,1,1,0,0,0,1,0,1,0
IRQ,0,0,0,1,0,1,1,0,1,0,0,0,1,0
ISL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISR,1,1,1,1,0,1,1,1,1,1,1,0,0,0
ITA,1,1,1,1,1,1,1,1,1,1,1,1,1,0
JAM,1,1,1,1,1,1,1,0,1,1,1,1,0,1
JOR,0,0,0,0,0,1,1,1,1,0,1,1,0,0
JPN,1,1,1,1,1,1,1,0,1,1,1,0,0,0
KAZ,1,1,1,1,1,1,1,0,1,1,1,0,0,1
KEN,1,1,1,1,1,0,1,0,1,1,1,1,1,1
KGZ,1,1,1,1,1,1,1,1,1,1,1,0,0,1
KHM,1,1,1,1,1,1,1,1,1,1,1,1,1,0
KIR,1,1,1,1,1,1,1,0,1,1,1,1,1,1
KNA,1,1,1,1,1,1,1,0,1,1,1,1,0,1
KOR,1,1,1,1,1,1,1,0,1,1,1,0,0,1
KWT,0,1,1,0,0,1,1,0,1,0,0,0,0,0
LAC,,,,,,,,,,,,,,
LAO,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LBN,1,1,1,1,0,1,1,0,1,1,1,1,0,0
LBR,1,1,1,1,1,1,1,0,1,1,1,1,1,1
LBY,1,0,1,1,0,1,1,0,0,1,1,0,1,0
LCA,1,1,1,1,0,1,1,0,0,1,1,1,1,1
LCN,,,,,,,,,,,,,,
LDC,,,,,,,,,,,,,,
LIC,,,,,,,,,,,,,,
LIE,,,,,,,,,,,,,,
LKA,1,1,1,1,1,1,1,0,1,1,0,1,0,1
LMC,,,,,,,,,,,,,,
LMY,,,,,,,,,,,,,,
LSO,1,1,1,1,1,1,1,0,1,1,1,1,0,1
LTE,,,,,,,,,,,,,,
LTU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LUX,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LVA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAC,,,,,,,,,,,,,,
MAF,,,,,,,,,,,,,,
MCO,,,,,,,,,,,,,,
MDA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDG,1,0,1,1,1,1,1,0,0,1,1,0,0,1
MDV,1,1,1,1,0,1,1,1,1,1,1,1,1,0
MEA,,,,,,,,,,,,,,
MEX,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIC,,,,,,,,,,,,,,
MKD,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MLI,0,0,1,1,1,1,1,0,1,1,1,0,0,0
MLT,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MMR,1,1,1,1,1,1,1,0,0,1,1,1,0,1
MNA,,,,,,,,,,,,,,
MNE,1,1,1,1,1,1,1,1,1,1,0,1,1,1
MNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MNP,,,,,,,,,,,,,,
MOZ,1,1,1,1,1,1,1,1,1,1,1,0,1,1
